Base de datos DIPPR del Perry's Chemical Engineers Handbook
Vapour pressures of substances: 
(A) Ps = exp(C1+C2./T+C3.*lnT+C4.*T.^C5)./1000 kPa T in Kelvin         (B)   
TABLE 2-8    Vapor Pressure of Inorganic and Organic Liquids, ln P = C1 + C2/T + C3 ln T + C4 T C5, P in Pa
No.   Name                          Formula      C1        C2          C3           C4       C5    Tmin, K  Tmax, K
 1    Acetaldehyde                  C2H4O      193.69   -8036.7    -29.502     4.3678E-02    1    150.15   466      A
 2    Acetamide                     C2H5NO     125.81   -12376     -14.589     5.0824E-06    2    353.33   761      A
 3    Aceticacid                    C2H4O2     53.27    -6304.5    -4.2985     8.8865E-18    6    289.81   591.95   A
 4    Aceticanhydride               C4H6O3     100.95   -8873.2    -11.451     6.1316E-06    2    200.15   606      A
 5    Acetone                       C3H6O      69.006   -5599.6    -7.0985     6.2237E-06    2    178.45   508.2    A
 6    Acetonitrile                  C2H3N      58.302   -5385.6    -5.4954     5.3634E-06    2    229.32   545.5    A
 7    Acetylene                     C2H2       39.63    -2552.2    -2.78       2.3930E-16    6    192.4    308.3    A
 8    Acrolein                      C3H4O      138.4    -7122.7    -19.638     2.6447E-02    1    185.45   506      A
 9    Acrylicacid                   C3H4O2     46.745   -6587.1    -3.2208     5.2253E-07    2    286.15   615      A
 10   Acrylonitrile                 C3H3N      87.604   -6392.7    -10.101     1.0891E-05    2    189.63   535      A
 11   Air                           Mixture    21.662   -692.39    -0.392      4.7574E-03    1    59.15    132.45   A
 12   Ammonia                       H3N        90.483   -4669.7    -11.607     1.7194E-02    1    195.41   405.65   A
 13   Anisole                       C7H8O      128.06   -9307.7    -16.693     1.4919E-02    1    235.65   645.6    A
 14   Argon                         Ar         42.127   -1093.1    -4.1425     5.7254E-05    2    83.78    150.86   A
 15   Benzamide                     C7H7NO     85.474   -11932     -8.3348     1.2850E-18    6    403      824      A
 16   Benzene                       C6H6       83.107   -6486.2    -9.2194     6.9844E-06    2    278.68   562.05   A
